User Interface Language Code Identifier|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Bad|Calculation|Check Cell|Comma|Comma [0]|Currency|Currency [0]|Explanatory Text|Good|Heading 1|Heading 2|Heading 3|Heading 4|Input|Linked Cell|Neutral|Normal|Note|Output|Percent|Title|Total|Warning Text
1035|20 % - Aksentti1|20 % - Aksentti2|20 % - Aksentti3|20 % - Aksentti4|20 % - Aksentti5|20 % - Aksentti6|40 % - Aksentti1|40 % - Aksentti2|40 % - Aksentti3|40 % - Aksentti4|40 % - Aksentti5|40 % - Aksentti6|60 % - Aksentti1|60 % - Aksentti2|60 % - Aksentti3|60 % - Aksentti4|60 % - Aksentti5|60 % - Aksentti6|Aksentti1|Aksentti2|Aksentti3|Aksentti4|Aksentti5|Aksentti6|Huono|Laskenta|Tarkistussolu|Pilkku|Pilkku [0]|Valuutta|Valuutta [0]|Selittävä teksti|Hyvä|Otsikko 1|Otsikko 2|Otsikko 3|Otsikko 4|Syöttö|Linkitetty solu|Neutraali|Normaali|Huomautus|Tulostus|Prosenttia|Otsikko|Summa|Varoitusteksti
1036|20 % - Accent1|20 % - Accent2|20 % - Accent3|20 % - Accent4|20 % - Accent5|20 % - Accent6|40 % - Accent1|40 % - Accent2|40 % - Accent3|40 % - Accent4|40 % - Accent5|40 % - Accent6|60 % - Accent1|60 % - Accent2|60 % - Accent3|60 % - Accent4|60 % - Accent5|60 % - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Insatisfaisant|Calcul|Vérification|Milliers|Milliers [0]|Monétaire|Monétaire [0]|Texte explicatif|Satisfaisant|Titre 1|Titre 2|Titre 3|Titre 4|Entrée|Cellule liée|Neutre|Normal|Note|Sortie|Pourcentage|Titre|Total|Avertissement
1037|20% - הדגשה1|20% - הדגשה2|20% - הדגשה3|20% - הדגשה4|20% - הדגשה5|20% - הדגשה6|40% - הדגשה1|40% - הדגשה2|40% - הדגשה3|40% - הדגשה4|40% - הדגשה5|40% - הדגשה6|60% - הדגשה1|60% - הדגשה2|60% - הדגשה3|60% - הדגשה4|60% - הדגשה5|60% - הדגשה6|הדגשה1|הדגשה2|הדגשה3|הדגשה4|הדגשה5|הדגשה6|רע|חישוב|תא מסומן|Comma|פסיק [0]|Currency|מטבע [0]|טקסט הסברי|טוב|כותרת 1|כותרת 2|כותרת 3|כותרת 4|קלט|תא מקושר|ניטראלי|Normal|הערה|פלט|Percent|כותרת|סה"כ|טקסט אזהרה
1038|20% - 1. jelölőszín|20% - 2. jelölőszín|20% - 3. jelölőszín|20% - 4. jelölőszín|20% - 5. jelölőszín|20% - 6. jelölőszín|40% - 1. jelölőszín|40% - 2. jelölőszín|40% - 3. jelölőszín|40% - 4. jelölőszín|40% - 5. jelölőszín|40% - 6. jelölőszín|60% - 1. jelölőszín|60% - 2. jelölőszín|60% - 3. jelölőszín|60% - 4. jelölőszín|60% - 5. jelölőszín|60% - 6. jelölőszín|Jelölőszín 1|Jelölőszín 2|Jelölőszín 3|Jelölőszín 4|Jelölőszín 5|Jelölőszín 6|Rossz|Számítás|Ellenőrzőcella|Ezres|Ezres [0]|Pénznem|Pénznem [0]|Magyarázó szöveg|Jó|Címsor 1|Címsor 2|Címsor 3|Címsor 4|Bevitel|Hivatkozott cella|Semleges|Normál|Jegyzet|Kimenet|Százalék|Cím|Összesen|Figyelmeztetés
1039|20% - Áhersla1|20% - Áhersla2|20% - Áhersla3|20% - Áhersla4|20% - Áhersla5|20% - Áhersla6|40% - Áhersla1|40% - Áhersla2|40% - Áhersla3|40% - Áhersla4|40% - Áhersla5|40% - Áhersla6|60% - Áhersla1|60% - Áhersla2|60% - Áhersla3|60% - Áhersla4|60% - Áhersla5|60% - Áhersla6|Áhersla1|Áhersla2|Áhersla3|Áhersla4|Áhersla5|Áhersla6|Rangt|Útreikningur|Athuga hólf|Þúsundaskiltákn|Þúsundaskiltákn [0]|Gjaldmiðill|Gjaldmiðill [0]|Skýringartexti|Gott|Fyrirsögn 1|Fyrirsögn 2|Fyrirsögn 3|Fyrirsögn 4|Inntak|Tengt hólf|Hlutlaust|Venjulegt|Minnismiði|Úttak|Prósent|Titill|Alls|Viðvörunartexti
1040|20% - Colore 1|20% - Colore 2|20% - Colore 3|20% - Colore 4|20% - Colore 5|20% - Colore 6|40% - Colore 1|40% - Colore 2|40% - Colore 3|40% - Colore 4|40% - Colore 5|40% - Colore 6|60% - Colore 1|60% - Colore 2|60% - Colore 3|60% - Colore 4|60% - Colore 5|60% - Colore 6|Colore 1|Colore 2|Colore 3|Colore 4|Colore 5|Colore 6|Valore non valido|Calcolo|Cella da controllare|Migliaia|Migliaia [0]|Valuta|Valuta [0]|Testo descrittivo|Valore valido|Titolo 1|Titolo 2|Titolo 3|Titolo 4|Input|Cella collegata|Neutrale|Normale|Nota|Output|Percentuale|Titolo|Totale|Testo avviso
1041|20% - アクセント 1|20% - アクセント 2|20% - アクセント 3|20% - アクセント 4|20% - アクセント 5|20% - アクセント 6|40% - アクセント 1|40% - アクセント 2|40% - アクセント 3|40% - アクセント 4|40% - アクセント 5|40% - アクセント 6|60% - アクセント 1|60% - アクセント 2|60% - アクセント 3|60% - アクセント 4|60% - アクセント 5|60% - アクセント 6|アクセント 1|アクセント 2|アクセント 3|アクセント 4|アクセント 5|アクセント 6|悪い|計算|チェック セル|桁区切り [0.00]|桁区切り|通貨 [0.00]|通貨|説明文|良い|見出し 1|見出し 2|見出し 3|見出し 4|入力|リンク セル|どちらでもない|標準|メモ|出力|パーセント|タイトル|集計|警告文
1042|20% - 강조색1|20% - 강조색2|20% - 강조색3|20% - 강조색4|20% - 강조색5|20% - 강조색6|40% - 강조색1|40% - 강조색2|40% - 강조색3|40% - 강조색4|40% - 강조색5|40% - 강조색6|60% - 강조색1|60% - 강조색2|60% - 강조색3|60% - 강조색4|60% - 강조색5|60% - 강조색6|강조색1|강조색2|강조색3|강조색4|강조색5|강조색6|나쁨|계산|셀 확인|쉼표|쉼표 [0]|통화|통화 [0]|설명 텍스트|좋음|제목 1|제목 2|제목 3|제목 4|입력|연결된 셀|보통|표준|메모|출력|백분율|제목|요약|경고문
1043|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Ongeldig|Berekening|Controlecel|Komma|Komma [0]|Valuta|Valuta [0]|Verklarende tekst|Goed|Kop 1|Kop 2|Kop 3|Kop 4|Invoer|Gekoppelde cel|Neutraal|Standaard|Notitie|Uitvoer|Procent|Titel|Totaal|Waarschuwingstekst
1044|20 % – uthevingsfarge 1|20 % – uthevingsfarge 2|20 % – uthevingsfarge 3|20 % – uthevingsfarge 4|20 % – uthevingsfarge 5|20 % – uthevingsfarge 6|40 % – uthevingsfarge 1|40 % – uthevingsfarge 2|40 % – uthevingsfarge 3|40 % – uthevingsfarge 4|40 % – uthevingsfarge 5|40 % – uthevingsfarge 6|60 % – uthevingsfarge 1|60 % – uthevingsfarge 2|60 % – uthevingsfarge 3|60 % – uthevingsfarge 4|60 % – uthevingsfarge 5|60 % – uthevingsfarge 6|Uthevingsfarge1|Uthevingsfarge2|Uthevingsfarge3|Uthevingsfarge4|Uthevingsfarge5|Uthevingsfarge6|Dårlig|Beregning|Kontrollcelle|Komma|Tusenskille [0]|Valuta|Valuta [0]|Forklarende tekst|God|Overskrift 1|Overskrift 2|Overskrift 3|Overskrift 4|Inndata|Koblet celle|Nøytral|Normal|Merknad|Utdata|Prosent|Tittel|Totalt|Varseltekst
