Name|Executable Hash|Executable Version
Capture2Text|320da826e0eddf763fd423c497ce5cd11703ff894b39da2f7b7db3ee78b1890f|4.6.3
Capture2Text|d90d3684ccd34128556d33623a2d079400754ee9732bd1df7274f00a8e4fbb72|4.6.3
Exact Audio Copy|a169a5cad41cc341f2b108d8a38eaf957c817df1f971ac13aa1fb731f957a204|1.8
GtkHash|bf4ee99fac496949a6619d90994fed19b2a199b7ea6af126cb8ab84555c73928|1.5
