Name|Executable|Directory
Driver Store Explorer|Rapr.exe|Driver Store Explorer
Process Explorer|procexp64.exe|Process Explorer
Regshot|Regshot-x64-Unicode.exe|Regshot
ZenTimings|ZenTimings.exe|ZenTimings
